Rank ,RollNo,InstituteCode,CourseCode
1301,2017145,106,4125
1303,4024173,113,4111
1304,4001127,105,4110
1306,4012356,102,4107
1307,7027291,106,4125
1308,6034071,117,4124
1310,6004144,106,5225
1312,6040307,106,4125
1313,7001370,106,5222
1314,6007285,117,4124
1316,2003146,104,4136
1317,6008212,107,4111
1318,6006120,106,4125
1319,2029008,117,4124
1320,1016119,102,4107
1321,1043378,106,4125
1322,6006250,106,4125
1323,2012234,104,4136
1324,4006020,117,4124
1325,1045178,106,5222
1326,5040266,102,4109
1327,2042039,117,4114
1328,2017356,115,4110
1329,6081274,102,5226
1330,1016408,102,5229
1331,2026242,106,4125
1332,1024114,110,5233
1333,6080242,110,5233
1334,6005251,117,4124
1335,2009010,106,5506
1336,5014168,106,4125
1337,4024128,109,4107
1338,1044426,116,4113
1339,2033250,106,4125
1341,7002245,102,4107
1342,7016089,102,4107
1343,1004001,102,4101
1344,5020141,104,4109
1345,2002228,113,4111
1346,4001102,102,4107
1348,6034023,106,4125
1349,1016378,109,4204
1351,7012110,113,4111
1352,2029249,116,4113
1353,2029030,104,4117
1354,5035054,109,4204
1355,6033178,102,4107
1357,4032158,102,4101
1358,2002008,113,4111
1359,1045201,113,4111
1360,7013014,102,4101
1361,4007272,113,4111
1362,2035018,102,4109
1363,6034122,110,5217
1364,6005190,106,5222
1365,6004088,110,5233
1366,6081050,102,5229
1367,2001397,104,4107
1368,7004102,102,4107
1370,6004102,110,5233
1371,4006199,117,4114
1372,1032266,106,4125
1373,2010173,106,4125
1374,5002128,109,4204
1375,7022116,106,4125
1376,6006137,117,4114
1377,7020003,106,4125
1378,4019106,117,4114
1381,1064137,115,4110
1382,6086049,110,4107
1383,1044022,106,5222
1384,6002184,110,5233
1385,4024022,104,4136
1387,6034136,110,5233
1388,7006296,113,4111
1389,1042443,113,4111
1391,6003220,106,5506
1392,4033175,113,4111
1394,4031036,109,4107
1396,5016110,117,4114
1397,4006247,106,5222
1398,4004260,109,4204
1399,1054454,113,4109
1400,5038014,102,4107
1401,6005158,117,4114
1402,5040053,102,4201
1404,7014007,110,5233
1405,6069147,102,4101
1406,1031340,117,4114
1407,1007181,110,5233
1408,2007266,117,4114
1409,1044148,113,4111
1410,7002020,102,4107
1411,2017238,104,4107
1412,2002048,117,4114
1413,4007241,104,4107
1414,7014117,102,4101
1415,2015048,113,4111
1417,4006192,113,4111
1419,6046247,106,4121
1420,7019024,113,4111
1421,1003028,104,4107
1423,6003241,110,5227
