Rank,RollNo,Course
3904,2009240,U4125 
3905,2053062,W4117 
3906,4011003,K4123 
3907,5031098,W4107 
3909,1081124,E4125 
3910,6006202,U4125 
3913,7013013,W4107 
3915,1059129,D4139 
3917,1067139,W4109 
3918,6084227,W4107 
3920,2047014,G5253 
4038,5009184,U4125 
4039,2012139,W4109 
4041,2009192,D4139 
4045,1055134,M5241 
4047,1035095,A4110 
4048,2015254,V4107 
4049,1063237,S4110 
4051,1055100,B5503 
4052,4027155,K4103 
4054,4007376,J4111 
4057,2038220,W4107 
4061,6076135,K4103 
4062,2029048,V4107 
4063,6068172,A4110 
4064,5039064,G4130 
4065,4011181,R4127 
4066,1017279,N4107 
4068,6033066,P4110 
4069,6084172,H4107 
4070,2063019,G5243 
4071,6018095,V4107 
4072,2055180,W4117 
4074,6009143,H4109 
4075,1061098,U4125 
4075,6039146,S4110 
4079,6011250,M5207 
4080,4010219,V4107 
4081,2015081,V4107 
4082,1089032,H4109 
4083,5010005,V4107 
4084,2039151,P4110 
4086,2052087,G4133 
4087,2025058,S4125 
4195,1035250,G5243 
4196,2040031,D5205 
4197,2027192,V4107 
4198,1034049,H4118 
4199,4029254,W4108 
4201,1076257,E4125 
4202,4002020,B5503 
4204,6027085,C4125 
4205,2061061,E4125 
4206,2018196,C4111 
4209,1031204,V5301 
4213,5019064,G4133 
4214,1090373,R5403 
4215,1036128,N4107 
4216,1027115,M5249 
4217,1072098,S4110 
4218,5035303,V4107 
4218,1007175,V4107 
4221,2067093,J4125 
4222,2062380,C4125 
4223,5029008,S4110 
4224,4005392,V4107 
4226,2047172,J4111 
4228,1065095,G4133 
4231,4018235,V4107 
4232,4034289,A4111 
4234,3021201,S4110 
4235,2052135,S4110 
4236,6006230,G4130 
4238,1082061,V4107 
4239,3030086,D4139 
4240,4010028,V4107 
4241,2001089,V4107 
4242,2042098,G4130 
4245,1045128,G5507 
4359,1066136,R4127 
4360,4007203,D5205 
4361,7009141,C4111 
4363,5003296,W4117 
4364,6047130,A4111 
4367,1074056,J4111 
4370,7015391,G4133 
4371,6024022,A4111 
4373,1016083,W4401 
4374,6037033,H4107 
4376,1022117,G5507 
4377,4008235,N4107 
4378,7003414,C4111 
4381,2022150,W4108 
4384,1089204,C4111 
4386,6042189,S4110 
4392,2048244,G4130 
4393,4012127,W4117 
4394,6087257,A4125 
4396,6063255,H4107 
4399,4009251,N4109 
4401,6010006,G4133 
4402,3036065,S4125 
4403,7004263,S4110 
4405,1073158,R5502 
4406,3012045,N4109 
4407,4007256,J4125 
4409,1072060,V4126 
4412,6021218,H4117 
4412,5052247,H4107 
4519,2046220,S4110 
4520,7020283,S4110 
4521,4025198,J4125 
4523,2055266,R4127 
4524,6079229,J4111 
4526,4004307,N4109 
